50 1 1
0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80 82 84 86 88 90 92 94 96 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 97 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 49 47 45 43 41 39 37 35 100 95 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 51 100 100 100 100 100 100 33 100 93 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 53 100 9 7 5 3 100 31 100 91 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 55 100 11 100 100 1 100 29 100 89 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 57 100 13 100 100 100 100 27 100 87 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 59 100 15 17 19 21 23 25 100 85 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 61 100 100 100 100 100 100 100 100 83 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 63 65 67 69 71 73 75 77 79 81 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98 100 98
98 100 98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98 100 98
98 100 98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98 100 98
98 100 98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98 100 98
98 100 98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98 100 98
98 100 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 100 98
98 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 98
98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98 98
